low,high,open,close,volumefrom,volumeto,macd,macds,macdh,rsi,sma_50,SMA_100
131.45,135.55,131.72,134.06,6967.96,931234.9,-0.9907602721150113,-0.477686097875244,-1.0261483484795346,46.34758476914423,135.78059999999994,140.91859999999994
133.46,137.72,134.06,135.96,3830.89,517447.58,-0.7712019465190849,-0.5363892676041224,-0.469625357829925,52.32948157137417,135.73039999999995,140.68909999999994
135.94,137.18,135.96,136.42,1609.92,220063.16,-0.5537024448556735,-0.5398519030544379,-0.027701083602471366,53.676097334543726,135.70619999999994,140.48749999999993
134.85,136.6,136.42,135.31,1164.2,157819.3,-0.4655275811317381,-0.5249870386698801,0.11891891507628394,50.005305678878614,135.65939999999995,140.26319999999993
135.0,135.89,135.31,135.43,1044.82,141565.46,-0.3815675431908403,-0.4963031395740445,0.22947119276640837,50.40021875652943,135.61859999999996,140.04329999999993
135.42,136.21,135.43,135.89,345.92,47005.9,-0.2747456530126726,-0.451991642261736,0.35449197849812675,51.966546638242654,135.59099999999995,139.81399999999994
135.89,136.56,135.89,136.17,572.52,77948.38,-0.16558740997854215,-0.3947107958050619,0.4582467716530395,52.94071303158464,135.56599999999995,139.58589999999992
135.0,136.17,136.17,135.25,1013.99,137450.89,-0.15156401167664058,-0.34608143897935373,0.3890348546054263,49.39588948687218,135.52639999999997,139.29969999999992
134.05,135.31,135.25,135.06,678.17,91282.58,-0.1540057402530408,-0.307666299234076,0.3073211179620704,48.671076042708115,135.50179999999997,139.01459999999992
135.06,137.05,135.06,136.2,3010.88,410078.92,-0.06322765947183484,-0.25877857128161236,0.39110182361955503,53.11629622016153,135.51419999999996,138.7471999999999
135.71,136.78,136.2,135.98,1037.61,141180.42,-0.008933843694649113,-0.20880962576420717,0.3997515641391161,52.17719085115748,135.50959999999995,138.46919999999992
135.5,136.32,135.98,135.88,1907.92,259131.92,0.025728937317836653,-0.16190191314778896,0.3752617009312512,51.72949120753628,135.51039999999995,138.1880999999999
135.88,137.0,135.88,136.43,1529.06,208362.95,0.09646623099183671,-0.1102282843198555,0.4133890306233844,54.06405672656977,135.52679999999998,137.9131999999999
135.4,136.79,136.43,136.1,3455.87,470429.23,0.12446391759652897,-0.06328984393657255,0.37550752306620305,52.42571502211235,135.52799999999996,137.65419999999992
135.55,136.1,136.1,135.86,634.67,86221.55,0.12583631006415885,-0.025464613136422367,0.30260184640116244,51.210271126639235,135.54039999999998,137.38879999999992
135.78,136.73,135.86,136.39,976.95,133065.79,0.16775550240663506,0.013179409972192304,0.3091521848688855,53.75979796766447,135.5682,137.12299999999993
131.65,139.05,136.39,136.38,15219.8,2069234.83,0.19788871157766152,0.05012127029328858,0.2955348825687459,53.702776716926124,135.5912,136.8584999999999
133.56,137.72,136.38,135.62,11447.5,1546109.66,0.15861689606043683,0.07182039544671937,0.17359300122743493,49.413146132198364,135.5764,136.60289999999992
133.52,136.2,135.62,135.05,8918.89,1203494.07,0.08057172717343519,0.07357066179206259,0.014002130762745202,46.41840484364809,135.5566,136.3551999999999
134.26,136.44,135.05,136.08,2003.94,271085.86,0.10067056249417305,0.07899064193248485,0.0433598411233764,52.071166981692855,135.58360000000002,136.31849999999991
134.32,137.49,136.08,135.39,4554.15,617239.04,0.060228597234186054,0.07523823299282499,-0.030019271517277873,48.38833188954826,135.59000000000003,136.2716999999999
134.26,135.56,135.39,134.86,3638.27,491208.89,-0.014421505146202662,0.05730628536501908,-0.1434555810224435,45.7138234612321,135.6004,136.24489999999992
134.81,135.43,134.86,135.06,1253.58,169418.67,-0.05678954163079197,0.03448711996585648,-0.18255332319329692,46.906394740823465,135.61100000000002,136.21319999999992
133.95,135.19,135.06,134.5,436.97,58714.41,-0.13400836524343163,0.0007880229239984045,-0.26959277633486006,43.99223198769022,135.60880000000003,136.1706999999999
134.34,135.71,134.5,134.34,615.37,83050.98,-0.20574361835693367,-0.040518305332188455,-0.33045062604949044,43.16704810042487,135.59940000000003,136.12769999999992
134.34,135.45,134.34,134.92,269.9,36424.37,-0.21333458621651857,-0.07508156150905478,-0.2765060494149276,47.044766971148356,135.58360000000002,136.08499999999992
134.55,135.24,134.92,135.09,403.18,54405.83,-0.20328966902113166,-0.10072318301147033,-0.20513297201932265,48.16121001768514,135.56740000000002,136.0468999999999
134.85,135.15,135.09,134.93,63.91,8623.98,-0.20586641320153376,-0.12175182904948312,-0.16822916830410128,47.15358679572816,135.57360000000006,136.01979999999992
134.8,135.82,134.93,135.5,406.67,55058.52,-0.1600695614546055,-0.1294153755305076,-0.061308371848195764,51.080257621571484,135.59400000000005,136.0563999999999
135.05,135.57,135.5,135.44,631.03,85360.38,-0.12715096252540548,-0.12896249292948717,0.003623060808163381,50.6535991561999,135.60100000000003,136.06379999999993
135.44,135.69,135.44,135.57,151.22,20510.52,-0.08954074748771745,-0.12107814384113322,0.06307479270683153,51.59695758407133,135.61020000000005,136.06569999999994
135.2,135.75,135.57,135.27,488.98,66187.58,-0.08298507372828112,-0.11345952981856279,0.060948912180563336,49.256774649514675,135.61120000000005,136.04469999999992
133.77,135.27,135.27,134.76,8700.15,1170530.97,-0.11758660933170972,-0.11428494572119219,-0.006603327221035071,45.48033158941764,135.59140000000005,136.01229999999993
134.69,135.27,134.76,135.23,802.3,108366.06,-0.1058634425020557,-0.11260064507736488,0.013474405150618346,49.33541537944661,135.58380000000005,135.97659999999993
135.16,136.03,135.23,135.4,3190.97,432807.52,-0.08191103983196513,-0.10646272402828492,0.049103368392639596,50.693480849290964,135.54740000000004,135.95499999999993
135.08,135.62,135.4,135.34,676.17,91523.19,-0.06699774927579938,-0.0985697290777878,0.06314395960397684,50.182207686881206,135.50640000000004,135.93669999999992
134.84,135.39,135.34,135.04,643.34,86884.33,-0.07848152851647683,-0.0945520889655256,0.032141120898097536,47.59734035908059,135.45660000000004,135.92749999999995
134.54,135.05,135.04,134.83,589.09,79419.66,-0.10333646245607042,-0.09630896366363456,-0.01405499758487172,45.818203828681476,135.40520000000004,135.90609999999995
134.45,135.3,134.83,135.08,2112.9,284859.05,-0.10168915265558098,-0.09738500146202386,-0.008608302387114242,48.29594857112832,135.34980000000004,135.89019999999994
134.8,135.24,135.08,135.18,979.48,132195.73,-0.09126250174054462,-0.09616050151772802,0.009795999554366802,49.29479874746818,135.30080000000004,135.88049999999996
134.96,135.45,135.18,135.35,921.1,124593.35,-0.06849224744678395,-0.09062685070353922,0.044269206513510545,51.02687573396995,135.22400000000005,135.87079999999997
134.8,137.41,135.35,136.36,5069.55,688938.38,0.03069772296836959,-0.06636193596915746,0.1941193178750541,59.81067709221581,135.21040000000005,135.85719999999998
136.25,137.6,136.36,136.76,1813.28,248346.49,0.13996954518714233,-0.02509563973789749,0.33013036985007965,62.66659425345448,135.21080000000006,135.84779999999998
135.97,136.92,136.76,136.49,1429.87,195065.74,0.20244788236294653,0.020413064682271328,0.3640696353613504,59.5884736351612,135.21680000000006,135.84959999999998
136.03,136.66,136.49,136.09,681.84,92962.27,0.2171823109148363,0.05976691392878434,0.31483079397210395,55.25809047748586,135.20700000000005,135.84399999999997
135.53,136.4,136.09,135.86,487.76,66327.9,0.207903838914973,0.08939429892602209,0.2370190799779018,52.87853409826386,135.21480000000005,135.803
135.75,136.31,135.86,136.08,1035.04,140830.01,0.21581491695701516,0.11467842253222073,0.20227298884958886,54.880002424675915,135.23740000000006,135.77859999999998
134.31,136.73,136.08,135.25,2774.81,376086.22,0.15334295944438736,0.12241132991465406,0.0618632590594666,46.80310305517546,135.36300000000006,135.7283
134.37,135.39,135.25,134.83,1126.09,151766.51,0.06914599822715672,0.11175826357715461,-0.08522453069999578,43.328093438651806,135.44080000000005,135.68299999999996
134.69,135.48,134.83,135.1,323.11,43638.73,0.02393014763509882,0.09419264038874345,-0.14052498550728926,46.098729740065146,135.50840000000005,135.6615
134.99,135.38,135.1,135.03,103.23,13951.14,-0.01735211856305341,0.07188368859838408,-0.17847161432287498,45.47795845939592,135.52780000000004,135.65419999999997
134.83,135.06,135.03,134.93,575.49,77643.06,-0.05747522237771818,0.04601190640316362,-0.2069742575617636,44.554909228788446,135.50720000000004,135.6188
134.74,135.12,134.93,134.85,322.63,43544.49,-0.0946374692461518,0.01788203127330053,-0.22503900103890465,43.78919704755617,135.47580000000005,135.591
131.89,134.92,134.85,134.21,3447.34,460007.04,-0.17372875199188798,-0.020440125379737183,-0.30657725322430157,38.14182802957185,135.45380000000006,135.5566
133.51,134.21,134.21,133.66,596.13,79778.26,-0.2775896218662979,-0.07187002467704934,-0.4114391943784971,34.07477712685254,135.41840000000005,135.51850000000002
133.24,133.9,133.66,133.57,167.47,22358.09,-0.362978159440587,-0.1300916516297569,-0.4657730156216602,33.44629827820454,135.372,135.48149999999998
131.53,133.57,133.57,132.17,2131.38,282620.32,-0.5374222814747611,-0.21155777759875777,-0.6517290077520067,25.551455357321615,135.29200000000003,135.429
129.55,132.7,132.17,132.17,10067.98,1317557.25,-0.6679705530798401,-0.3028403326949743,-0.7302604407697316,25.551455357321615,135.23040000000003,135.3784
131.4,132.59,132.17,131.88,3615.84,477466.92,-0.785773638734355,-0.39942699390285047,-0.7726932896630091,24.180270767721964,135.16680000000002,135.33429999999998
131.51,132.81,131.88,132.74,1801.84,237830.28,-0.8005108933133442,-0.47964377378494927,-0.64173423905679,35.27327224078262,135.09760000000003,135.30589999999998
